"table-list-order","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3"
"1","Dimensity 9400 Plus","A+","2651570"
"2","Snapdragon 8 Elite (Gen 4)","A+","2745854"
"3","A18 Pro","A+","1793917"
"4","Apple A18","A+","1622118"
"5","Dimensity 9400","A+","2605867"
"6","Dimensity 9300","A+","2079810"
"7","Dimensity 9300 Plus","A+","2111636"
"8","Snapdragon 8s Gen 4","A+","2160544"
"9","A17 Pro","A+","1533780"
"10","Snapdragon 8 Gen 3","A","2052774"
"11","A16 Bionic","A","1445704"
"12","Exynos 2400","A","1744941"
"13","Exynos 2400e","A","1781567"
"14","Dimensity 8400","A","1633597"
"15","A15 Bionic","A","1294678"
"16","Snapdragon 8 Gen 2","A","1557749"
"17","Dimensity 9200","A","1468431"
"18","Dimensity 9200 Plus","A","1489987"
"19","Snapdragon 8s Gen 3","A","1488885"
"20","Snapdragon 7 Plus Gen 3","A","1409887"
"21","Dimensity 8350","A","1431343"
"22","Dimensity 8300","A","1406012"
"23","A14 Bionic","A","1097581"
"24","Tensor G4","A","1125355"
"25","Snapdragon 8 Plus Gen 1","A","1299948"
"26","Tensor G3","A","1152535"
"27","Dimensity 9000 Plus","B","1114121"
"28","Snapdragon 8 Gen 1","B","1168329"
"29","Snapdragon 7 Plus Gen 2","B","1124420"
"30","Exynos 2200","B","1132394"
"31","Dimensity 9000","B","1099019"
"32","A13 Bionic","B","901330"
"33","Kirin 9020","B","1248520"
"34","Snapdragon 888 Plus","B","961175"
"35","Exynos 1580","B","907608"
"36","Tensor G2","B","936100"
"37","Snapdragon 888","B","915852"
"38","Dimensity 8200","B","930985"
"39","Google Tensor","B","908052"
"40","Exynos 2100","B","894668"
"41","Kirin 9000","B","901517"
"42","Kirin 9010","B","956941"
"43","Dimensity 8100","B","855509"
"44","Snapdragon 870","B","820285"
"45","Snapdragon 7 Gen 3","B","809573"
"46","Snapdragon 7s Gen 3","B","769706"
"47","Dimensity 8000","B","863025"
"48","A12 Bionic","B","695691"
"49","Dimensity 7350","B","753533"
"50","Dimensity 1300","B","753169"
"51","Snapdragon 865 Plus","B","737495"
"52","Kirin 9000S","B","823241"
"53","Dimensity 8050","B","763240"
"54","Dimensity 8020","B","742480"
"55","Dimensity 1200","B","759514"
"56","Snapdragon 865","B","758854"
"57","Dimensity 7400","B","777255"
"58","Snapdragon 6 Gen 4","B","709938"
"59","Dimensity 7200 Ultra","B","750632"
"60","Dimensity 7200","B","718576"
"61","Dimensity 1100","B","748430"
"62","Exynos 1480","B","723194"
"63","Dimensity 7300","B","675069"
"64","Snapdragon 782G","B","682050"
"65","Snapdragon 7 Gen 1","B","678813"
"66","Exynos 990","B","737285"
"67","Kirin 990 (5G)","B","714339"
"68","Snapdragon 778G Plus","B","635680"
"69","Snapdragon 780G","B","633483"
"70","Snapdragon 860","B","643951"
"71","Dimensity 1000 Plus","B","582561"
"72","Snapdragon 855 Plus","B","618133"
"73","Snapdragon 6 Gen 3","B","620769"
"74","Snapdragon 7s Gen 2","B","608141"
"75","Snapdragon 778G","B","597653"
"76","Snapdragon 855","B","610427"
"77","Kirin 8000","B","574704"
"78","Dimensity 7030","B","540999"
"79","Snapdragon 6 Gen 1","B","558590"
"80","Dimensity 7050","B","588272"
"81","Exynos 9825","B","656151"
"82","A11 Bionic","B","488688"
"83","Exynos 1380","B","599184"
"84","Dimensity 1080","B","545403"
"85","Dimensity 920","B","548039"
"86","Exynos 9820","B","627682"
"87","Dimensity 7025","B","474357"
"88","Dimensity 930","B","464386"
"89","Kirin 980","B","592373"
"90","Snapdragon 6s Gen 3","B","468323"
"91","Dimensity 7020","B","462274"
"92","Dimensity 1050","B","527778"
"93","Dimensity 900","B","511291"
"94","Dimensity 820","B","487164"
"95","Kirin 820","B","494513"
"96","Dimensity 6400","B","446033"
"97","Unisoc T820","B","540711"
"98","Snapdragon 4 Gen 2","B","426967"
"99","Exynos 1330","B","438848"
"100","Unisoc T8300","B","479599"
"101","Dimensity 6300","B","422141"
